models/lightgbm/boosting_type,models/lightgbm/learning_rate,models/lightgbm/n_estimators,models/lightgbm/num_leaves,preproc/rmf/pca/model/kernel,preproc/rmf/pca/model/n_components,Accuracy,SD on test folds
gbdt,0.05,500,127,linear,25,0.3926996673428601,0.032041043870321195
gbdt,0.05,500,127,sigmoid,3,0.47486545621337306,0.015768664355445303
gbdt,0.05,500,127,sigmoid,10,0.4731946610532683,0.021278744465380747
gbdt,0.05,500,127,sigmoid,25,0.46451111708793186,0.034991661685728245
gbdt,0.05,1000,31,linear,3,0.4421316704826082,0.0573438370566071
gbdt,0.05,1000,31,linear,10,0.43143724647653015,0.056042016509860286
gbdt,0.05,1000,31,linear,25,0.4011085004414583,0.03576473847487047
gbdt,0.05,1000,31,sigmoid,3,0.4778759985667998,0.02618175048343026
gbdt,0.05,1000,31,sigmoid,10,0.45994042334733554,0.025192404642133105
gbdt,0.05,1000,31,sigmoid,25,0.4673973275514025,0.03635983808842893
gbdt,0.05,1000,63,linear,3,0.4418120981776436,0.058388773437729066
gbdt,0.05,1000,63,linear,10,0.4347537660222172,0.04881131565403485
gbdt,0.05,1000,63,linear,25,0.40013294236454505,0.03856302854672418
gbdt,0.05,1000,63,sigmoid,3,0.47183926122320974,0.022410812548274543
gbdt,0.05,1000,63,sigmoid,10,0.467507117410741,0.019133367350070048
gbdt,0.05,1000,63,sigmoid,25,0.47371139970799747,0.031387371866108287
gbdt,0.05,1000,127,linear,3,0.4390563358171116,0.05487759072764836
gbdt,0.05,1000,127,linear,10,0.44354954941161095,0.041930637902990356
gbdt,0.05,1000,127,linear,25,0.39572867212110363,0.031020689544711266
gbdt,0.05,1000,127,sigmoid,3,0.4730564914446722,0.018392134199907196
gbdt,0.05,1000,127,sigmoid,10,0.47658518695324475,0.021542210633507107
gbdt,0.05,1000,127,sigmoid,25,0.46573231306526497,0.03660955319341722
gbdt,0.1,100,31,linear,3,0.4347762642914176,0.059731093133592796
gbdt,0.1,100,31,linear,10,0.43697079485499274,0.05389285215371827
gbdt,0.1,100,31,linear,25,0.40159044684288653,0.04156521714976625
gbdt,0.1,100,31,sigmoid,3,0.4767127600864639,0.0173811780969199
gbdt,0.1,100,31,sigmoid,10,0.4691981311720771,0.029368888577151933
gbdt,0.1,100,31,sigmoid,25,0.47057161217295657,0.03525221360929876
gbdt,0.1,100,63,linear,3,0.4394855357050024,0.061043636935185386
gbdt,0.1,100,63,linear,10,0.4352935235251512,0.050969233876403
gbdt,0.1,100,63,linear,25,0.3907273344142247,0.03093464847698075
gbdt,0.1,100,63,sigmoid,3,0.4927275375438979,0.022683494091156924
gbdt,0.1,100,63,sigmoid,10,0.46167520527905664,0.027986792600656955
gbdt,0.1,100,63,sigmoid,25,0.4719752850502874,0.03533256164825468
gbdt,0.1,100,127,linear,3,0.4398264099636471,0.05804988329415765
gbdt,0.1,100,127,linear,10,0.4261267345699714,0.04575375817438827
gbdt,0.1,100,127,linear,25,0.3917881259194097,0.03461351628186323
gbdt,0.1,100,127,sigmoid,3,0.4836833610217641,0.017092426365479852
gbdt,0.1,100,127,sigmoid,10,0.46480503350905045,0.02678352792900526
gbdt,0.1,100,127,sigmoid,25,0.465563203405073,0.035525706361550446
gbdt,0.1,500,31,linear,3,0.43818914411114707,0.05394684176792046
gbdt,0.1,500,31,linear,10,0.43376052771942397,0.05992850740054927
gbdt,0.1,500,31,linear,25,0.3974900654040866,0.038207332744501145
gbdt,0.1,500,31,sigmoid,3,0.47641302002453284,0.022445711017228562
gbdt,0.1,500,31,sigmoid,10,0.4710857489643255,0.02083128725689092
gbdt,0.1,500,31,sigmoid,25,0.46610420185721874,0.03489956494963332
gbdt,0.1,500,63,linear,3,0.4406861205454596,0.055886843075758495
gbdt,0.1,500,63,linear,10,0.43691359731925167,0.046878201879616145
gbdt,0.1,500,63,linear,25,0.39236147942562416,0.03240931572587132
gbdt,0.1,500,63,sigmoid,3,0.4762565562928544,0.01926735636763568
gbdt,0.1,500,63,sigmoid,10,0.4664920908585472,0.02038479367931322
gbdt,0.1,500,63,sigmoid,25,0.4686167884934229,0.02954037651813686
gbdt,0.1,500,127,linear,3,0.44300318630831514,0.04944305791778724
gbdt,0.1,500,127,linear,10,0.44806280663879905,0.046387744866531175
gbdt,0.1,500,127,linear,25,0.39428400149088894,0.03217121214716426
gbdt,0.1,500,127,sigmoid,3,0.4702840772530113,0.022723282778266057
